Kanada	15.49	16.3	17.22	15.24	15.15	15.32	16.82	16.75	15.57	14.91
USA	20.65	20.17	20.18	18.93	19.2	19.03	20.29	19.27	17.28	14.95
Australien	10.86	12.85	13.96	13.84	15.03	15.66	17.36	18.18	17.42	16.0
Deutschland	12.49	12.37	13.39	12.93	11.84	10.54	9.97	9.67	9.45	8.88
Frankreich	8.07	7.85	8.25	6.21	5.94	5.78	5.99	5.89	5.25	4.38
Grossbritannien	11.11	10.25	10.13	9.61	9.6	8.86	8.84	8.8	7.6	5.65
